Team,Player,month,m,x_1,x_2,Intercept,WPA,Cent%,BABIP,BB/K,LD%,GB%,Oppo%,FB%,HR/FB,Pull%
BAL,Ryan Mountcastle,4,91,18,6,1,-0.648333333,0.022166667,-0.018333333,-0.151666667,-0.055833333,-0.0295,0.009666667,0.085166667,-0.1775,-0.032
,,5,86,22,9,1,-0.308333333,-0.016833333,0.042666667,-0.181666667,0.081166667,0.0685,0.017666667,-0.149833333,0.0415,-0.001
,,6,101,33,13,1,0.951666667,-0.052833333,0.066666667,0.028333333,0.050166667,-0.0325,-0.040333333,-0.017833333,0.0815,0.093
,,7,73,15,6,1,-0.098333333,0.096166667,-0.071333333,0.138333333,0.015166667,0.0045,-0.012333333,-0.019833333,-0.0785,-0.083
,,8,70,25,14,1,0.171666667,-0.069833333,0.049666667,0.118333333,-0.058833333,0.0335,-0.017333333,0.025166667,0.0995,0.087
,,9,101,21,9,1,-0.068333333,0.021166667,-0.069333333,0.048333333,-0.031833333,-0.0445,0.042666667,0.077166667,0.0335,-0.064
,Trey Mancini,4,97,23,10,1,-0.56,0.014,-0.043833333,-0.048333333,-0.062666667,0.066833333,-0.036833333,-0.004166667,0.066,0.022833333
,,5,97,31,14,1,0.66,-0.022,0.052166667,0.241666667,0.091333333,-0.105166667,0.062166667,0.013833333,0.089,-0.040166667
,,6,101,21,6,1,-0.11,0.043,-0.039833333,-0.078333333,-0.028666667,0.019833333,-0.040833333,0.008833333,-0.021,-0.003166667
,,7,87,26,13,1,0.53,-0.028,0.045166667,-0.148333333,-0.043666667,-0.087166667,0.120166667,0.130833333,0.021,-0.092166667
,,8,98,22,6,1,-0.52,0.046,-0.012833333,-0.258333333,0.007333333,0.060833333,-0.101833333,-0.068166667,-0.095,0.055833333
,,9,65,15,5,1,1.39E-17,-0.053,-0.000833333,0.291666667,0.036333333,0.044833333,-0.002833333,-0.081166667,-0.06,0.056833333
BOS,Rafael Devers,4,92,27,13,1,-0.006666667,0.052333333,-0.0055,0.026666667,0.047,-0.004666667,-0.076833333,-0.042166667,0.070333333,0.0245
,,5,94,25,18,1,0.513333333,-0.081666667,0.0395,-0.273333333,-0.065,0.095333333,0.118166667,-0.030166667,0.128333333,-0.0365
,,6,101,28,12,1,0.303333333,-0.075666667,-0.0065,-0.043333333,-0.013,0.008333333,-0.002833333,0.004833333,-0.054666667,0.0785
,,7,87,27,13,1,-0.166666667,-0.000666667,-0.0025,0.036666667,-0.071,-0.053666667,-0.026833333,0.124833333,0.013333333,0.0265
,,8,108,25,11,1,-0.676666667,0.049333333,-0.0865,0.376666667,0.036,-0.041666667,-0.006833333,0.004833333,-0.078666667,-0.0415
,,9,94,27,6,1,0.033333333,0.056333333,0.0615,-0.123333333,0.066,-0.003666667,-0.004833333,-0.062166667,-0.078666667,-0.0515
,J.D. Martinez,4,94,33,19,1,0.783333333,-0.021666667,0.048666667,0.14,-0.112166667,0.063333333,-0.024,0.048833333,0.109333333,0.045666667
,,5,98,30,6,1,0.873333333,0.101333333,0.031666667,0.1,0.063833333,0.023333333,-0.095,-0.087166667,-0.043666667,-0.006333333
,,6,99,25,13,1,-0.096666667,0.073333333,-0.038333333,-0.08,-0.050166667,-0.047666667,-0.009,0.097833333,-0.058666667,-0.064333333
,,7,90,22,13,1,-0.496666667,-0.076666667,-0.052333333,0.04,0.014833333,-0.001666667,0.052,-0.013166667,-0.015666667,0.024666667
,,8,98,27,11,1,-0.786666667,-0.016666667,0.009666667,-0.2,-0.010166667,-0.073666667,0.065,0.083833333,-0.049666667,-0.048333333
,,9,83,24,11,1,-0.276666667,-0.059666667,0.000666667,5.55E-17,0.093833333,0.036333333,0.011,-0.130166667,0.058333333,0.048666667
NYY,Aaron Judge,4,81,22,10,1,-0.518333333,-0.002,-0.025833333,0.166666667,0.036666667,-0.014333333,-0.016333333,-0.022333333,0.0915,0.0185
,,5,99,32,10,1,0.511666667,0.059,0.080166667,-0.033333333,0.044666667,-0.018333333,-0.048333333,-0.026333333,-0.0155,-0.0105
,,6,94,24,9,1,-0.538333333,-0.057,-0.003833333,0.036666667,0.023666667,-0.027333333,0.018666667,0.003666667,-0.0595,0.0385
,,7,55,14,5,1,-0.548333333,0.025,-0.050833333,-0.133333333,-0.063333333,0.116666667,-0.053333333,-0.053333333,-0.0455,0.0275
,,8,110,39,14,1,0.751666667,-0.028,0.111166667,0.016666667,0.064666667,-0.051333333,0.041666667,-0.013333333,0.0195,-0.0135
,,9,100,24,15,1,0.341666667,0.003,-0.110833333,-0.053333333,-0.106333333,-0.005333333,0.057666667,0.111666667,0.0095,-0.0605
,Joey Gallo,4,83,18,3,1,0.238333333,-0.022333333,0.152333333,0.058333333,0.05,0.106833333,0.033,-0.156666667,-0.135666667,-0.0105
,,5,93,20,11,1,-0.551666667,0.058666667,0.007333333,-0.091666667,-0.024,0.045833333,0.044,-0.022666667,-0.018666667,-0.1025
,,6,76,20,11,1,-0.041666667,0.008666667,0.006333333,0.378333333,0.056,-0.082166667,-0.007,0.026333333,0.101333333,-0.0015
,,7,66,11,7,1,0.138333333,0.008666667,-0.070666667,-0.071666667,-0.025,0.094833333,-0.029,-0.069666667,0.106333333,0.0195
,,8,96,15,11,1,0.138333333,0.008666667,-0.004666667,-0.061666667,0.032,-0.018166667,-0.056,-0.013666667,-0.051666667,0.0475
,,9,74,13,9,1,0.078333333,-0.062333333,-0.090666667,-0.211666667,-0.089,-0.147166667,0.015,0.236333333,-0.001666667,0.0475
TB,Brandom Lowe,4,88,16,8,1,-0.896666667,0.048166667,-0.064333333,-0.01,0.01,-0.047833333,-0.0615,0.0375,-0.093833333,0.0135
,,5,92,18,7,1,-0.336666667,-0.110833333,-0.027333333,-0.04,-0.002,0.138166667,-0.0155,-0.1355,0.076166667,0.1265
,,6,83,20,11,1,-0.056666667,0.060166667,0.006666667,-0.1,-0.075,0.051166667,0.0215,0.0245,0.055166667,-0.0815
,,7,73,21,12,1,0.493333333,-0.030833333,0.050666667,0.26,-0.014,-0.097833333,0.0275,0.1115,-0.022833333,0.0035
,,8,107,28,18,1,0.623333333,0.077166667,-0.022333333,-0.04,0.01,-0.096833333,-0.0525,0.0865,-0.027833333,-0.0255
,,9,83,25,11,1,0.173333333,-0.043833333,0.056666667,-0.07,0.071,0.053166667,0.0805,-0.1245,0.013166667,-0.0365
,Mike Zunino,4,51,11,7,1,0.311666667,-0.0925,-0.01,0.001666667,0.026166667,-0.000166667,-0.036166667,-0.026,-0.000833333,0.1285
,,5,61,13,9,1,0.051666667,-0.0185,0.026,-0.108333333,0.038166667,-0.109166667,-0.028166667,0.072,0.073166667,0.0465
,,6,55,11,7,1,0.201666667,-0.0835,-0.024,0.041666667,0.005166667,-0.013166667,-0.028166667,0.007,0.058166667,0.1115
,,7,44,6,4,1,-0.468333333,-0.0305,-0.07,0.161666667,-0.048833333,0.125833333,-0.050166667,-0.077,-0.140833333,0.0805
,,8,56,14,10,1,0.011666667,0.1195,0.045,-0.058333333,-0.064833333,-0.000166667,0.024833333,0.065,0.055166667,-0.1435
,,9,57,14,8,1,-0.108333333,0.1055,0.033,-0.038333333,0.044166667,-0.003166667,0.117833333,-0.041,-0.044833333,-0.2235
TOR,Vladimir Guerrero Jr.,4,80,28,11,1,0.261666667,0.0425,0.044833333,0.446666667,0.053,-0.023666667,-0.010666667,-0.029166667,0.047666667,-0.0325
,,5,106,32,15,1,0.551666667,-0.0005,-0.043166667,-0.053333333,-0.098,0.092333333,0.008333333,0.005833333,-0.012333333,-0.0065
,,6,97,36,16,1,0.961666667,-0.0495,0.109833333,-0.173333333,0.117,-0.045666667,0.069333333,-0.071166667,0.214666667,-0.0205
,,7,84,24,11,1,-0.458333333,0.0505,-0.053166667,-0.133333333,-0.026,-0.088666667,-0.030666667,0.113833333,-0.073333333,-0.0205
,,8,116,31,8,1,-0.778333333,0.0115,-0.045166667,-0.153333333,-0.03,0.064333333,-0.046666667,-0.034166667,-0.091333333,0.0355
,,9,109,34,14,1,-0.538333333,-0.0545,-0.013166667,0.066666667,-0.016,0.001333333,0.010333333,0.014833333,-0.085333333,0.0445
,Bo Bichette,4,96,25,14,1,-0.551666667,-0.015166667,-0.041666667,-0.153333333,-0.075166667,0.004666667,0.001333333,0.0705,0.087333333,0.013833333
,,5,117,31,11,1,0.158333333,-0.000166667,-0.011666667,-0.023333333,-0.023166667,0.044666667,-0.083666667,-0.0215,-0.025666667,0.083833333
,,6,110,36,10,1,0.848333333,0.007833333,0.023333333,0.086666667,0.061833333,-0.011333333,0.061333333,-0.0505,-0.018666667,-0.069166667
,,7,86,29,6,1,0.228333333,-0.118166667,0.031333333,0.246666667,0.098833333,-0.037333333,0.080333333,-0.0615,0.042333333,0.037833333
,,8,108,27,6,1,-1.021666667,-0.000166667,-0.042666667,-0.003333333,-0.046166667,0.033666667,-0.003666667,0.0125,-0.118666667,0.003833333
,,9,110,38,12,1,0.338333333,0.125833333,0.041333333,-0.153333333,-0.016166667,-0.034333333,-0.055666667,0.0505,0.033333333,-0.070166667
CWS,Tim Anderson,4,67,21,5,1,-0.055,0.1,0.043833333,-0.018333333,0.014833333,0.080833333,-0.094833333,-0.095833333,0.265166667,-0.005
,,5,103,28,7,1,0.305,-0.069,-0.018166667,0.061666667,-0.050166667,0.039833333,0.034166667,0.010166667,-0.123833333,0.036
,,6,100,30,7,1,-0.535,0.057,0.001833333,0.071666667,0.018833333,0.017833333,0.022166667,-0.035833333,-0.167833333,-0.08
,,7,101,32,13,1,-0.405,-0.01,0.006833333,0.031666667,0.052833333,-0.125166667,0.031166667,0.072166667,-0.109833333,-0.021
,,8,92,29,10,1,0.835,-0.061,-0.022166667,-0.108333333,0.020833333,0.002833333,-0.024833333,-0.023833333,0.098166667,0.086
,,9,52,15,5,1,-0.145,-0.017,-0.012166667,-0.038333333,-0.057166667,-0.016166667,0.032166667,0.073166667,0.038166667,-0.016
,Jose Abreu,4,94,20,7,1,-0.548333333,-0.0145,-0.0515,-0.031666667,-0.068166667,0.116833333,-0.045833333,-0.0485,0.056833333,0.060333333
,,5,84,28,12,1,1.171666667,-0.0085,0.0925,-0.061666667,0.066833333,-0.021166667,-0.064833333,-0.0455,0.122833333,0.073333333
,,6,88,16,7,1,-0.628333333,0.0425,-0.0715,-0.141666667,-0.018166667,-0.003166667,0.098166667,0.0215,-0.110166667,-0.140666667
,,7,94,24,11,1,-0.108333333,-0.0195,-0.0185,0.058333333,-0.038166667,0.048833333,-0.023833333,-0.0095,0.006833333,0.043333333
,,8,112,37,17,1,0.651666667,0.0285,0.0525,-0.161666667,0.015833333,-0.090166667,-0.023833333,0.0725,0.076833333,-0.004666667
,,9,86,21,6,1,-0.538333333,-0.0285,-0.0035,0.338333333,0.041833333,-0.051166667,0.060166667,0.0095,-0.153166667,-0.031666667
CLE,Jose Ramirez,4,88,23,10,1,0.915,0.062166667,-0.033166667,0.165,0.0465,-0.0195,0.0015,-0.026,0.030833333,-0.063666667
,,5,98,24,14,1,0.085,0.046166667,-0.012166667,-0.055,0.0185,-0.0615,-0.0125,0.043,-0.025166667,-0.032666667
,,6,82,24,12,1,-0.145,-0.109833333,0.031833333,-0.135,-0.0105,0.0035,0.0455,0.007,-0.023166667,0.064333333
,,7,65,14,7,1,-0.355,-0.054833333,-0.025166667,-0.305,-0.0245,0.0805,-0.0855,-0.055,0.035833333,0.140333333
,,8,110,30,19,1,0.155,0.063166667,-0.008166667,0.035,-0.0235,-0.0525,0.0405,0.075,0.004833333,-0.104666667
,,9,96,28,10,1,-0.655,-0.006833333,0.046833333,0.295,-0.0065,0.0495,0.0105,-0.044,-0.023166667,-0.003666667
,Amed Rosario,4,67,12,4,1,-0.386666667,-0.097166667,-0.138,0.283333333,-0.019833333,-0.0125,-0.006833333,0.032333333,0.029166667,0.103666667
,,5,88,27,7,1,1.113333333,0.069833333,0.064,0.073333333,0.049166667,-0.0055,0.014166667,-0.043666667,-0.025833333,-0.083333333
,,6,97,29,5,1,0.303333333,0.048833333,0.03,-0.056666667,0.068166667,-0.0065,0.027166667,-0.061666667,0.029166667,-0.075333333
,,7,100,25,8,1,-1.046666667,-0.089166667,-0.022,-0.126666667,-0.001833333,-0.0185,0.044166667,0.021333333,-0.046833333,0.044666667
,,8,113,42,14,1,0.523333333,0.074833333,0.092,0.033333333,-0.013833333,-0.0235,-0.039833333,0.036333333,0.044166667,-0.035333333
,,9,78,18,4,1,-0.506666667,-0.007166667,-0.026,-0.206666667,-0.081833333,0.0665,-0.038833333,0.015333333,-0.029833333,0.045666667
DET,Robbie Grossman,4,85,18,5,1,-0.183333333,0.003833333,0.0055,-0.02,0.0185,0.044833333,-0.024166667,-0.0625,-0.0395,0.02
,,5,102,27,12,1,1.426666667,0.068833333,0.0225,0.02,-0.0525,-0.037166667,-0.035166667,0.0905,-0.0355,-0.033
,,6,98,18,7,1,-1.003333333,0.026833333,-0.0615,-0.27,-0.0055,0.023833333,-0.045166667,-0.0185,0.0065,0.018
,,7,80,20,7,1,0.346666667,-0.004166667,-0.0305,0.56,0.0015,-0.026166667,0.021833333,0.0245,0.0735,-0.017
,,8,89,25,10,1,-0.303333333,-0.016166667,0.0425,-0.18,0.0635,0.032833333,0.012833333,-0.0975,0.0335,0.003
,,9,97,22,7,1,-0.283333333,-0.079166667,0.0215,-0.11,-0.0255,-0.038166667,0.069833333,0.0635,-0.0385,0.009
,Jonathan Schoop,4,81,16,3,1,-0.698333333,-0.0735,-0.060666667,-0.136666667,-0.014833333,0.024833333,0.056666667,-0.01,-0.015,0.0165
,,5,109,30,7,1,0.011666667,-0.0265,0.005333333,0.163333333,-0.005833333,0.067833333,-0.069333333,-0.062,0.004,0.0955
,,6,106,36,18,1,0.761666667,-0.0605,0.009333333,0.043333333,-0.011833333,-0.073166667,0.014666667,0.085,0.144,0.0455
,,7,103,31,7,1,0.541666667,-0.0345,0.042333333,-0.056666667,-0.008833333,0.057833333,0.035666667,-0.049,-0.039,-0.0015
,,8,110,30,8,1,-0.278333333,0.0845,0.010333333,-0.046666667,0.043166667,-0.017166667,-0.008333333,-0.026,-0.089,-0.0745
,,9,106,29,10,1,-0.338333333,0.1105,-0.006666667,0.033333333,-0.001833333,-0.060166667,-0.029333333,0.062,-0.005,-0.0815
KC,Salvador Perez,4,97,26,11,1,0.123333333,0.000166667,0.026666667,-0.026666667,0.0305,0.016,0.051,-0.046333333,-0.059666667,-0.0515
,,5,106,30,10,1,-0.016666667,0.027166667,0.027666667,-0.126666667,0.0165,0.032,0.062,-0.048333333,-0.088666667,-0.0885
,,6,106,31,13,1,-1.196666667,0.001166667,0.031666667,-0.066666667,0.0095,-0.002,0.03,-0.007333333,0.042333333,-0.0315
,,7,95,25,10,1,0.573333333,-0.049833333,-0.001333333,-0.096666667,-0.0065,-0.002,-0.031,0.008666667,-0.008666667,0.0805
,,8,97,26,13,1,0.913333333,-0.061833333,-0.075333333,0.233333333,-0.0145,-0.01,-0.061,0.024666667,0.119333333,0.1235
,,9,109,31,15,1,-0.396666667,0.083166667,-0.009333333,0.083333333,-0.0355,-0.034,-0.051,0.068666667,-0.004666667,-0.0325
,Carlos Santana,4,85,21,10,1,1.406666667,-0.1125,0.0065,0.225,0.023166667,-0.0935,0.0135,0.070166667,0.0855,0.098166667
,,5,91,23,4,1,0.526666667,0.0405,0.0465,0.255,-0.024833333,0.0405,0.0335,-0.015833333,0.0455,-0.073833333
,,6,100,22,6,1,-0.503333333,0.0085,0.0015,0.235,-0.010833333,-0.0175,-0.0185,0.028166667,-0.0205,0.009166667
,,7,90,19,7,1,0.576666667,-0.0085,0.0025,-0.295,0.012166667,-0.0305,0.0015,0.019166667,0.0395,0.007166667
,,8,92,18,4,1,-1.413333333,0.0645,0.0095,-0.315,-0.004833333,0.1245,-0.0395,-0.119833333,-0.1085,-0.023833333
,,9,96,14,3,1,-0.593333333,0.0075,-0.0665,-0.105,0.005166667,-0.0235,0.0095,0.018166667,-0.0415,-0.016833333
MIN,Jorge Polanco,4,87,18,5,1,0.21,-0.013833333,-0.053,-0.028333333,-0.045333333,0.134166667,0.004,-0.09,-0.115166667,0.01
,,5,87,22,12,1,-0.32,-0.068833333,0.009,0.121666667,-0.000333333,0.066166667,-0.062,-0.066,0.013833333,0.131
,,6,93,27,10,1,-0.66,0.049166667,0.002,0.371666667,0.006666667,-0.071833333,0.005,0.065,-0.058166667,-0.055
,,7,104,34,11,1,0.75,-0.013833333,0.051,-0.048333333,0.036666667,-0.053833333,0.051,0.018,0.000833333,-0.037
,,8,103,30,15,1,0.93,0.002166667,0.023,-0.138333333,0.002666667,-0.048833333,0.01,0.046,0.089833333,-0.012
,,9,106,26,16,1,-0.91,0.045166667,-0.032,-0.278333333,-0.000333333,-0.025833333,-0.008,0.027,0.068833333,-0.037
,Miguel Sano,4,45,5,2,1,-0.351666667,0.0255,-0.133833333,0.305,-0.050333333,-0.062833333,0.025833333,0.113333333,-0.104666667,-0.051166667
,,5,84,16,10,1,0.228333333,-0.0115,-0.032833333,-0.165,0.003666667,-0.078833333,0.071833333,0.075333333,0.044333333,-0.060166667
,,6,71,18,8,1,0.598333333,0.0245,0.046166667,-0.225,0.020666667,0.085166667,0.000833333,-0.106666667,0.065333333,-0.025166667
,,7,75,19,11,1,-0.351666667,0.0455,0.100166667,0.045,-0.000333333,-0.020833333,-0.063166667,0.021333333,-0.111666667,0.016833333
,,8,94,23,11,1,0.138333333,-0.0205,0.040166667,0.035,0.023666667,0.133166667,-0.012166667,-0.156666667,0.085333333,0.032833333
,,9,89,18,11,1,-0.261666667,-0.0635,-0.019833333,0.005,0.002666667,-0.055833333,-0.023166667,0.053333333,0.021333333,0.086833333
HOU,Yordan Alvarez,4,73,23,10,1,0.475,-0.037333333,0.0745,-0.196666667,-0.0585,0.003666667,0.129666667,0.054666667,-0.137666667,-0.092166667
,,5,85,26,9,1,-0.405,0.031666667,0.0745,-0.276666667,0.1025,-0.040333333,-0.029333333,-0.061333333,0.042333333,-0.002166667
,,6,100,28,11,1,0.305,0.075666667,0.0115,0.223333333,0.0245,0.058666667,-0.048333333,-0.083333333,0.052333333,-0.028166667
,,7,75,16,7,1,-0.245,0.029666667,-0.0995,0.013333333,-0.0685,0.104666667,-0.094333333,-0.036333333,0.112333333,0.064833333
,,8,102,30,17,1,0.065,-0.111333333,-0.0455,0.003333333,-0.0015,-0.044333333,0.070666667,0.045666667,0.022333333,0.040833333
,,9,90,23,12,1,-0.195,0.011666667,-0.0155,0.233333333,0.0015,-0.082333333,-0.028333333,0.080666667,-0.091666667,0.016833333
,Jose Altuve,4,66,18,4,1,-0.553333333,-0.0135,0.031333333,-0.253333333,0.129666667,0.021666667,-0.020166667,-0.1515,-0.0745,0.0335
,,5,112,36,9,1,0.986666667,0.0555,0.053333333,0.026666667,-0.016333333,0.042666667,-0.000166667,-0.0255,0.0245,-0.0555
,,6,101,26,13,1,-0.233333333,0.0265,-0.043666667,0.296666667,-0.062333333,0.015666667,-0.055166667,0.0465,0.1425,0.0295
,,7,100,26,13,1,1.276666667,-0.0645,-0.038666667,-0.233333333,-0.010333333,-0.100333333,0.021833333,0.1105,0.0435,0.0425
,,8,110,27,7,1,-1.333333333,0.0325,0.008333333,-0.133333333,0.019666667,-0.023333333,0.064833333,0.0035,-0.1515,-0.0975
,,9,101,28,16,1,-0.143333333,-0.0365,-0.010666667,0.296666667,-0.060333333,0.043666667,-0.011166667,0.0165,0.0155,0.0475
LAA,Shohei Ohtani,4,92,26,16,1,0.661666667,0.087333333,0.005833333,-0.378333333,0.012833333,-0.005,-0.018,-0.008,-0.017333333,-0.069333333
,,5,94,23,13,1,0.041666667,-0.007666667,-0.019166667,-0.098333333,-0.057166667,-0.003,0.153,0.06,-0.087333333,-0.145333333
,,6,81,25,20,1,0.671666667,0.017333333,-0.017166667,0.101666667,0.009833333,-0.015,-0.051,0.005,0.281666667,0.034666667
,,7,85,24,15,1,-0.248333333,0.015333333,0.074833333,-0.058333333,0.091833333,-0.109,-0.01,0.018,0.112666667,-0.005333333
,,8,94,19,8,1,-0.738333333,-0.064666667,-0.055166667,0.111666667,-0.054166667,0.003,-0.035,0.051,-0.152333333,0.098666667
,,9,83,20,7,1,-0.388333333,-0.047666667,0.010833333,0.321666667,-0.003166667,0.129,-0.039,-0.126,-0.137333333,0.086666667
,Jared Walsh,4,82,27,9,1,0.71,-0.018166667,0.048833333,0.043333333,0.040833333,-0.115833333,0.0005,0.074666667,-0.0875,0.017666667
,,5,104,30,15,1,-0.38,-0.030166667,0.009833333,-0.046666667,-0.058166667,0.065166667,0.0615,-0.006333333,0.1385,-0.031333333
,,6,101,24,17,1,0.33,-0.049166667,-0.032166667,-0.096666667,-0.045166667,0.034166667,-0.0225,0.010666667,0.1825,0.071666667
,,7,77,16,5,1,-0.57,0.029833333,-0.088166667,-0.266666667,-0.005166667,0.001166667,-0.0335,0.003666667,-0.1435,0.003666667
,,8,66,17,5,1,0.08,0.044833333,-0.001166667,0.243333333,0.063833333,0.020166667,-0.0465,-0.084333333,0.0715,0.001666667
,,9,89,29,10,1,-0.17,0.022833333,0.062833333,0.123333333,0.003833333,-0.004833333,0.0405,0.001666667,-0.1615,-0.063333333
OAK,Jed Lowrie,4,90,22,9,1,-0.181666667,-0.033166667,-0.018833333,0.211666667,0.097166667,-0.086833333,0.0095,-0.010333333,0.004,0.023666667
,,5,94,23,9,1,-0.611666667,-0.001166667,0.055166667,-0.068333333,0.002166667,0.042166667,-0.0165,-0.044333333,-0.053,0.017666667
,,6,78,20,4,1,0.118333333,0.052833333,0.015166667,0.101666667,0.007166667,0.016166667,0.0235,-0.023333333,0.032,-0.076333333
,,7,85,25,8,1,1.278333333,-0.033166667,0.026166667,-0.058333333,0.012166667,0.008166667,-0.0765,-0.020333333,0.045,0.109666667
,,8,69,14,5,1,-0.361666667,0.007833333,-0.027833333,-0.058333333,-0.005833333,0.000166667,-0.0195,0.005666667,0.002,0.011666667
,,9,41,8,7,1,-0.241666667,0.006833333,-0.049833333,-0.128333333,-0.112833333,0.020166667,0.0795,0.092666667,-0.03,-0.086333333
,Tony Kemp,4,30,6,1,1,-0.061666667,-0.043833333,-0.034,-0.628333333,-0.168833333,0.091666667,0.1015,0.077166667,-0.0525,-0.0575
,,5,48,14,4,1,-0.011666667,-0.180833333,0.038,-1.068333333,0.136166667,-0.113333333,0.0955,-0.022833333,0.0105,0.0855
,,6,72,21,10,1,0.668333333,-0.069833333,0.01,-0.318333333,0.012166667,-0.008333333,-0.0155,-0.003833333,0.0625,0.0855
,,7,57,11,3,1,-1.031666667,0.171166667,-0.013,-1.448333333,0.043166667,-0.020333333,-0.0625,-0.022833333,-0.0525,-0.1085
,,8,40,13,4,1,0.108333333,0.028166667,0.029,1.231666667,-0.029833333,0.031666667,-0.0855,-0.001833333,0.0105,0.0565
,,9,72,20,2,1,0.328333333,0.095166667,-0.03,2.231666667,0.007166667,0.018666667,-0.0335,-0.025833333,0.0215,-0.0615
SEA,Mitch Haniger,4,101,28,14,1,0.651666667,-0.007833333,0.026833333,-0.04,-0.008833333,0.028166667,0.019666667,-0.0185,-0.006666667,-0.011166667
,,5,102,25,14,1,0.151666667,-0.025833333,-0.029166667,0.05,-0.017833333,0.000166667,-0.014333333,0.0175,0.043333333,0.039833333
,,6,99,25,7,1,-0.508333333,-0.050833333,0.029833333,-0.21,0.018166667,0.052166667,-0.031333333,-0.0705,-0.039666667,0.082833333
,,7,93,25,9,1,0.441666667,-0.042833333,0.006833333,0.06,0.037166667,-0.047833333,0.058666667,0.0105,0.034333333,-0.016166667
,,8,108,23,7,1,-1.268333333,0.091166667,-0.032166667,0.11,-0.014833333,0.023166667,-0.050333333,-0.0085,-0.081666667,-0.041166667
,,9,104,27,12,1,0.531666667,0.036166667,-0.002166667,0.03,-0.013833333,-0.055833333,0.017666667,0.0695,0.050333333,-0.054166667
,Kyle Seager,4,104,26,14,1,0.778333333,-0.029,0.063,-0.123333333,0.042166667,-0.036166667,0.063666667,-0.006,-0.06,-0.034666667
,,5,98,18,9,1,-0.641666667,0.05,-0.05,0.036666667,-0.008833333,-0.012166667,-0.061333333,0.021,-0.006,0.011333333
,,6,99,21,8,1,-0.921666667,-0.031,0.072,-0.193333333,0.029166667,-0.023166667,0.006666667,-0.006,-0.027,0.024333333
,,7,84,20,9,1,-0.401666667,-0.039,-0.019,0.316666667,-0.049833333,0.070833333,-0.041333333,-0.021,0.09,0.080333333
,,8,108,21,13,1,-1.011666667,-0.017,-0.064,0.016666667,-0.010833333,-0.014166667,-0.054333333,0.025,0.049,0.071333333
,,9,97,19,10,1,2.198333333,0.066,-0.002,-0.053333333,-0.001833333,0.014833333,0.086666667,-0.013,-0.046,-0.152666667
TEX,Adolis Garcia,4,66,16,7,1,0.633333333,-0.008833333,-0.016166667,-0.028333333,0.023833333,0.0305,-0.009,-0.0545,0.125833333,0.017666667
,,5,109,34,13,1,0.833333333,0.056166667,0.032833333,0.041666667,0.027833333,-0.0675,-0.001,0.0395,0.106833333,-0.055333333
,,6,95,23,9,1,0.163333333,-0.029833333,0.011833333,0.031666667,-0.021166667,0.1285,0.039,-0.1065,0.003833333,-0.009333333
,,7,88,19,9,1,-0.816666667,-0.000833333,-0.014166667,-0.028333333,-0.041166667,-0.0895,0.051,0.1305,-0.110166667,-0.050333333
,,8,110,25,14,1,-0.396666667,-0.001833333,0.000833333,0.051666667,0.031833333,-0.0465,-0.021,0.0145,0.006833333,0.023666667
,,9,102,22,7,1,-0.416666667,-0.014833333,-0.015166667,-0.068333333,-0.021166667,0.0445,-0.059,-0.0235,-0.133166667,0.073666667
,Nathaniel Lowe,4,101,28,9,1,0.448333333,-0.113166667,0.009333333,-0.131666667,0.062666667,-0.058166667,0.060666667,-0.005,0.156666667,0.052166667
,,5,100,22,6,1,-0.371666667,0.000833333,-0.017666667,0.038333333,0.050666667,-0.067166667,0.014666667,0.016,-0.054333333,-0.015833333
,,6,83,23,5,1,-0.011666667,0.084833333,0.004333333,0.028333333,-0.024333333,0.033833333,-0.026333333,-0.01,-0.041333333,-0.058833333
,,7,74,18,5,1,0.018333333,-0.046166667,-0.007666667,0.088333333,-0.043333333,-0.034166667,0.015666667,0.079,-0.048333333,0.032166667
